Ion,A,a,B,b,C,c,D
Sc,10.8172,54.327,4.7353,14.8471,0.6071,4.218,0.0011
Sc1+,8.5021,34.2851,3.2116,10.994,0.4244,3.6055,0.0009
Sc2+,4.3683,28.6544,3.7231,10.8233,0.6074,3.6678,0.0014
Ti,4.3583,36.0556,3.823,11.1328,0.6855,3.4692,0.002
Ti1+,6.1567,27.2754,2.6833,8.9827,0.407,3.0524,0.0011
Ti2+,4.3107,18.3484,2.096,6.797,0.2984,2.5476,0.0007
Ti3+,3.3717,14.4441,1.8258,5.7126,0.247,2.2654,0.0005
V,3.8099,21.3471,2.3295,7.4089,0.4333,2.6324,0.0015
V1+,4.7474,23.3226,2.3609,7.8082,0.4105,2.7063,0.0014
V2+,3.4386,16.5303,1.9638,6.1415,0.2997,2.2669,0.0009
V3+,2.3005,14.6821,2.0364,6.1304,0.4099,2.3815,0.0014
V4+,1.8377,12.2668,1.8247,5.4578,0.3979,2.2483,0.0012
Cr,3.8989,20.4087,2.2151,7.0842,0.3921,2.5401,0.0014
Cr1+,3.4085,20.1267,2.1006,6.802,0.4266,2.3941,0.0019
Cr2+,3.7768,20.3456,2.1028,6.8926,0.401,2.4114,0.0017
Cr3+,2.6422,16.0598,1.9198,6.2531,0.4446,2.3715,0.002
Cr4+,1.6262,15.0656,2.0618,6.2842,0.5281,2.368,0.0023
Mn,1.0293,13.9498,1.9933,6.0593,0.5974,2.3457,0.0027
Mn1+,2.6681,16.0601,1.7561,5.6396,0.3675,2.0488,0.0017
Mn2+,3.2953,18.695,1.8792,6.2403,0.3927,2.2006,0.0022
Mn3+,2.0515,15.5561,1.8841,6.0625,0.4787,2.2323,0.0027
Mn4+,1.2427,14.9966,1.9567,6.1181,0.5732,2.2577,0.0031
Fe,0.7879,13.8857,1.8717,5.7433,0.5981,2.1818,0.0034
Fe1+,1.9405,18.4733,1.9566,6.3234,0.5166,2.1607,0.0036
Fe2+,2.629,18.6598,1.8704,6.3313,0.469,2.1628,0.0031
Fe3+,1.649,16.5593,1.9064,6.1325,0.5206,2.137,0.0035
Fe4+,1.3602,11.9976,1.5188,5.0025,0.4705,1.9914,0.0038
Co,1.5582,8.275,1.1863,3.2794,0.1366,1.1068,-0.0022
Co1+,1.9678,14.1699,1.4911,4.9475,0.3844,1.7973,0.0027
Co2+,2.4097,16.1608,1.578,5.4604,0.4095,1.9141,0.0031
Co3+,1.9049,11.6444,1.3159,4.3574,0.3146,1.6453,0.0017
Co4+,1.7058,8.8595,1.1409,3.3086,0.1474,1.0899,-0.0025
Ni,1.311,8.0252,1.1551,3.1792,0.1608,1.1301,-0.0011
Ni1+,1.0302,12.2521,1.4669,4.7453,0.4521,1.7437,0.0036
Ni2+,2.104,14.8655,1.4302,5.0714,0.4031,1.7784,0.0034
Ni3+,1.708,11.016,1.2147,4.1031,0.315,1.5334,0.0018
Ni4+,1.1612,7.7,1.0027,3.2628,0.2719,1.378,0.0025
Cu,1.1612,7.7,1.0027,3.2628,0.2719,1.378,0.0025
Cu1+,1.9182,14.4904,1.3329,4.7301,0.3842,1.6394,0.0035
Cu2+,1.8814,13.4333,1.2809,4.5446,0.3646,1.6022,0.0033
Cu3+,1.5189,10.4779,1.1512,3.8132,0.2918,1.3979,0.0017
Cu4+,1.2797,8.4502,1.0315,3.2796,0.2401,1.2498,0.0015
Y,0.9568,7.4481,0.9099,3.3964,0.3729,1.4936,0.0049
Zr,1.8245,13.1803,2.8508,5.4068,-0.1579,0.0444,0.1438
Zr1+,2.0885,12.8712,2.5961,5.1896,-0.1465,0.0393,0.1343
Nb,2.7244,12.9262,2.3387,5.1633,-0.13,0.0457,0.1177
Nb1+,2.1409,12.8319,2.5664,5.1522,-0.1338,0.0457,0.121
Mo,1.7262,12.324,2.6652,5.0662,-0.1695,0.0406,0.155
Mo1+,3.5237,15.9545,2.2855,5.1946,-0.0142,0.5853,0.0033
Tc,2.8622,14.7328,2.4099,5.1439,-0.1326,0.0309,0.1233
Tc1+,2.4141,12.9478,2.3687,4.9447,-0.249,0.0215,0.2371
Ru,2.0109,12.0534,2.4155,4.8358,-0.2264,0.0275,0.2128
Ru1+,1.6778,11.3372,2.4531,4.7247,-0.2043,0.0337,0.1892
Rh,1.8845,9.1606,2.0746,4.0422,-0.1318,1.7227,0.002
Rh1+,14.4084,44.6577,5.1045,14.9043,-0.0535,3.3189,0.0028
Pd,10.1378,35.3372,4.7734,12.5453,-0.0489,2.6721,0.0036
Pd1+,11.8722,34.92,4.0502,12.1266,-0.0632,2.8278,0.0034
Ce2+,7.4796,33.1789,5.0884,11.5708,-0.0281,1.5635,0.0047
Nd2+,8.7735,33.2848,4.6556,11.6046,-0.0268,1.5389,0.0044
Nd3+,5.118,23.4217,4.1809,9.208,-0.0505,1.7434,0.0053
Sm2+,7.2367,28.1282,4.0705,9.9228,-0.0317,1.4552,0.0049
Sm3+,4.2441,21.3974,3.9439,8.3753,-0.0371,1.187,0.0066
Eu2+,6.4056,24.8243,3.54,8.6112,-0.0366,1.4846,0.0044
Eu3+,3.7445,18.6128,3.4749,7.4201,-0.0363,1.0068,0.0073
Gd2+,5.2826,23.6832,3.5813,8.1521,-0.0257,0.4255,0.0131
Gd3+,3.3651,17.3444,3.2121,6.8041,-0.035,0.5031,0.0146
Tb2+,4.026,18.9497,3.1663,6.9998,-0.0296,0.4862,0.0127
