Element,Empirical,Calculated,van der Waals,Covalent (single bond),Covalent (triple bond),Metallic
H,0.25,0.53,1.15,0.32,0,0
D,0.25,0.53,1.15,0.32,0,0
He,1.2,0.31,1.4,0.46,0,0
Li,1.45,1.67,1.815,1.33,0,1.52
Be,1.05,1.12,1.53,1.02,0.85,1.12
B,0.85,0.87,1.92,0.85,0.73,0
C,0.7,0.67,1.7,0.75,0.6,0
N,0.65,0.56,1.55,0.71,0.54,0
O,0.6,0.48,1.52,0.63,0.53,0
F,0.5,0.42,1.47,0.64,0.53,0
Ne,1.6,0.38,1.54,0.67,0,0
Na,1.8,1.9,2.27,1.55,0,1.86
Mg,1.5,1.45,1.73,1.39,1.27,1.6
Al,1.25,1.18,1.84,1.26,1.11,1.43
Si,1.1,1.11,2.1,1.16,1.02,0
P,1,0.98,1.8,1.11,0.94,0
S,1,0.88,1.8,1.03,0.95,0
Cl,1,0.79,1.75,0.99,0.93,0
Ar,0.71,0.71,1.88,0.96,0.96,0
K,2.2,2.43,2.75,1.96,0,2.27
Ca,1.8,1.94,2.31,1.71,1.33,1.97
Sc,1.6,1.84,2.11,1.48,1.14,1.62
Ti,1.4,1.76,0,1.36,1.08,1.47
V,1.35,1.71,0,1.34,1.06,1.34
Cr,1.4,1.66,0,1.22,1.03,1.28
Mn,1.4,1.61,0,1.19,1.03,1.27
Fe,1.4,1.56,0,1.16,1.02,1.26
Co,1.35,1.52,0,1.11,0.96,1.25
Ni,1.35,1.49,1.63,1.1,1.01,1.24
Cu,1.35,1.45,1.4,1.12,1.2,1.28
Zn,1.35,1.42,1.39,1.18,0,1.34
Ga,1.3,1.36,1.87,1.24,1.21,1.35
Ge,1.25,1.25,2.11,1.21,1.14,0
As,1.15,1.14,1.85,1.21,1.06,0
Se,1.15,1.03,1.9,1.16,1.07,0
Br,1.15,0.94,1.84,1.14,1.1,0
Kr,0,0.88,2.02,1.17,1.08,0
Rb,2.35,2.65,3.03,2.1,0,2.48
Sr,2,2.19,2.49,1.85,1.39,2.15
Y,1.8,2.12,0,1.63,1.24,1.8
Zr,1.55,2.06,0,1.54,1.21,1.6
Nb,1.45,1.98,0,1.47,1.16,1.46
Mo,1.45,1.9,0,1.38,1.13,1.39
Tc,1.35,1.83,0,1.28,1.1,1.36
Ru,1.3,1.78,0,1.25,1.03,1.34
Rh,1.35,1.73,0,1.25,1.06,1.34
Pd,1.4,1.69,1.63,1.2,1.12,1.37
Ag,1.6,1.65,1.72,1.28,1.37,1.44
Cd,1.55,1.61,1.58,1.36,0,1.51
In,1.55,1.56,1.93,1.42,1.46,1.67
Sn,1.45,1.45,2.17,1.4,1.32,0
Sb,1.45,1.33,2.06,1.4,1.27,0
Te,1.4,1.23,2.06,1.36,1.21,0
I,1.4,1.15,1.98,1.33,1.25,0
Xe,0,1.08,2.16,1.31,1.22,0
Cs,2.6,2.98,3.43,2.32,0,2.65
Ba,2.15,2.53,2.68,1.96,1.49,2.22
La,1.95,2.26,0,1.8,1.39,1.87
Ce,1.85,2.1,0,1.63,1.31,1.818
Pr,1.85,2.47,0,1.76,1.28,1.824
Nd,1.85,2.06,0,1.74,0,1.814
Pm,1.85,2.05,0,1.73,0,1.834
Sm,1.85,2.38,0,1.72,0,1.804
Eu,1.85,2.31,0,1.68,0,1.804
Gd,1.8,2.33,0,1.69,1.32,1.804
Tb,1.75,2.25,0,1.68,0,1.773
Dy,1.75,2.28,0,1.67,0,1.781
Ho,1.75,2.26,0,1.66,0,1.762
Er,1.75,2.26,0,1.65,0,1.761
Tm,1.75,2.22,0,1.64,0,1.759
Yb,1.75,2.22,0,1.7,0,1.76
Lu,1.75,2.17,0,1.62,1.31,1.738
Hf,1.55,2.08,0,1.52,1.22,1.59
Ta,1.45,2,0,1.46,1.19,1.46
W,1.35,1.93,0,1.37,1.15,1.39
Re,1.35,1.88,0,1.31,1.1,1.37
Os,1.3,1.85,0,1.29,1.09,1.35
Ir,1.35,1.8,0,1.22,1.07,1.355
Pt,1.35,1.77,1.75,1.23,1.1,1.385
Au,1.35,1.74,1.66,1.24,1.23,1.44
Hg,1.5,1.71,1.55,1.33,0,1.51
Tl,1.9,1.56,1.96,1.44,1.5,1.7
Pb,1.8,1.54,2.02,1.44,1.37,0
Bi,1.6,1.43,2.07,1.51,1.35,0
Po,1.9,1.35,1.97,1.45,1.29,0
At,0,1.27,2.02,1.47,1.38,0
Rn,0,1.2,2.2,1.42,1.33,0
Fr,0,0,3.48,0,0,0
Ra,2.15,0,2.83,2.01,1.59,0
Ac,1.95,0,0,1.86,1.4,0
Th,1.8,0,0,1.75,1.36,1.79
Pa,1.8,0,0,1.69,1.29,1.63
U,1.75,0,1.86,1.7,1.18,1.56
Np,1.75,0,0,1.71,1.16,1.55
Pu,1.75,0,0,1.72,0,1.59
Am,1.75,0,0,1.66,0,1.73
Cm,1.76,0,0,1.66,0,1.74
Bk,0,0,0,0,0,1.7
Cf,0,0,0,0,0,1.86
Es,0,0,0,0,0,1.86
Fm,0,0,0,0,0,0
Md,0,0,0,0,0,0
No,0,0,0,0,0,0
Lr,0,0,0,0,0,0
Rf,0,0,0,0,1.31,0
Db,0,0,0,0,1.26,0
Sg,0,0,0,0,1.21,0
Bh,0,0,0,0,1.19,0
Hs,0,0,0,0,1.18,0
Mt,0,0,0,0,1.13,0
Ds,0,0,0,0,1.12,0
Rg,0,0,0,0,1.18,0
Cn,0,0,0,0,1.3,0
Nh,0,0,0,0,0,0
Fl,0,0,0,0,0,0
Mc,0,0,0,0,0,0
Lv,0,0,0,0,0,0
Ts,0,0,0,0,0,0
Og,0,0,0,0,0,0
